userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (2687,0.7867037057876587) (261,0.6922585368156433) (1125,0.6110833287239075) (1057,0.5951187014579773) (318,0.575461208820343) (708,0.5592771172523499) (2870,0.5332530736923218) (1654,0.5178988575935364) (2110,0.5073267817497253) (2124,0.4916037619113922) (920,0.4803987741470337) (2245,0.4681268334388733) (492,0.46188873052597046) (1643,0.4594762325286865) (2132,0.45333197712898254) (1290,0.4490864872932434) (2141,0.44360020756721497) (915,0.44146668910980225) (2083,0.4350317716598511) (2762,0.43454471230506897)*
1775: (2762,0.41847991943359375) (2871,0.40925949811935425) (921,0.3784538209438324) (527,0.37009209394454956) (527,0.37009209394454956) (1945,0.3675522804260254) (1186,0.36638009548187256) (373,0.3653271496295929) (1201,0.3644307851791382) (1208,0.3604995906352997) (1217,0.35758262872695923) (2401,0.3520658016204834) (920,0.3425956070423126) (3104,0.3405367136001587) (1090,0.3394279479980469)* (45,0.33652469515800476) (969,0.3351360261440277) (2132,0.3346429169178009) (492,0.3329702317714691) (1954,0.3319660425186157)
1776: (2687,0.6167156100273132) (2124,0.6000543236732483) (3660,0.5848965048789978) (2513,0.5712872743606567) (2120,0.5689001083374023) (1996,0.5680500268936157) (2279,0.560421884059906) (3692,0.5563585162162781) (3837,0.5559375882148743) (3694,0.5538964867591858) (3840,0.5509251952171326) (3017,0.5492567420005798) (1476,0.5450151562690735) (2974,0.5411227941513062) (2901,0.5385643243789673) (1995,0.5211917161941528) (2787,0.5206060409545898) (611,0.5166090726852417) (532,0.5137937068939209) (708,0.5136072635650635)
1777: (1186,0.6059845089912415) (373,0.5933789014816284) (2132,0.567907452583313) (3676,0.5407730937004089) (2970,0.5152101516723633) (2488,0.5151116847991943) (3075,0.5111901164054871) (3091,0.5089315176010132) (3679,0.5039885640144348) (2285,0.5012076497077942) (3224,0.5008541345596313) (1251,0.49809393286705017) (2920,0.4972613751888275) (3223,0.4970451593399048) (1305,0.4952778220176697) (1423,0.4902517795562744) (45,0.4901158809661865) (1232,0.486505925655365)* (1131,0.4864751696586609) (2729,0.4825746417045593)
1778: (708,0.7773308157920837) (2297,0.739963710308075) (1476,0.720476508140564)* (276,0.7104952335357666)* (1593,0.6980829238891602) (372,0.6348188519477844) (27,0.6320058107376099) (2687,0.6190217137336731) (1668,0.6170121431350708) (1870,0.6074934601783752) (1057,0.6043695211410522) (3285,0.5961549878120422) (3502,0.5940647125244141) (2292,0.5905178189277649) (999,0.5902429819107056) (3063,0.5872446894645691) (261,0.5848040580749512) (305,0.5835880041122437) (2106,0.5825052857398987) (2506,0.5817247629165649)
1779: (2687,0.6881581544876099) (2294,0.5979742407798767) (2294,0.5979742407798767) (3785,0.5944568514823914) (3858,0.5940797924995422) (2759,0.5846085548400879) (663,0.572490394115448) (3752,0.5696311593055725) (1405,0.5689482688903809) (3786,0.5619996786117554) (1658,0.5605850219726562) (3556,0.5567811727523804) (2718,0.5563476085662842) (2894,0.5555652976036072) (2712,0.5527752637863159) (3033,0.5516092777252197) (3913,0.5513602495193481) (3884,0.551023542881012) (3617,0.5496513843536377) (3869,0.5445282459259033)
1780: (2132,0.7154017686843872) (921,0.654719352722168) (1125,0.6467304229736328) (492,0.6093894243240356) (1186,0.5943253040313721) (2110,0.5729432106018066) (1238,0.5515592098236084) (1132,0.5477297902107239) (2065,0.5473265647888184) (1963,0.527553141117096) (1082,0.5271314382553101) (2870,0.5209177136421204) (1949,0.5017562508583069) (2687,0.5016226172447205) (3011,0.5000659227371216) (1131,0.47843971848487854) (1057,0.47839558124542236) (1945,0.47820743918418884) (948,0.47014039754867554) (1643,0.46336105465888977)
1781: (2901,0.9229801893234253) (1327,0.8164941072463989) (3840,0.796305775642395) (3847,0.7618871331214905) (3344,0.7501865029335022) (2459,0.7409314513206482) (3837,0.733925461769104) (3660,0.7325154542922974) (1346,0.7020288109779358) (2974,0.6893852353096008) (2614,0.6882160902023315) (1762,0.6850924491882324) (1434,0.6780051589012146) (3694,0.6726914644241333) (2789,0.6683899164199829) (2747,0.6679211854934692) (2513,0.6676076650619507) (2554,0.6644611954689026) (188,0.65986567735672) (2992,0.6558665633201599)
1782: (2712,0.9751946926116943) (3952,0.9614467620849609) (3219,0.8921936750411987) (1899,0.8670099377632141) (2997,0.8397040367126465) (3618,0.8298965096473694) (223,0.8262649178504944) (3174,0.8198758959770203) (3309,0.8080441951751709) (615,0.8036893010139465) (2759,0.7978821992874146) (2492,0.783645510673523) (2959,0.7772701382637024) (1959,0.7771182060241699) (2482,0.7682143449783325) (2336,0.7625570893287659) (3752,0.7558944225311279) (3157,0.7522233724594116) (2706,0.7460212111473083) (3160,0.7417099475860596)
1783: (1186,0.6586945652961731) (915,0.6011795997619629) (2065,0.5995873808860779) (921,0.5843815803527832) (1057,0.5776501297950745) (1125,0.5435158014297485) (1238,0.5320931673049927) (2110,0.5116551518440247) (272,0.5018249750137329) (1963,0.49383482336997986) (1131,0.4928475022315979) (45,0.4699357748031616) (1643,0.46679189801216125) (1132,0.46030348539352417) (2132,0.459797739982605) (1096,0.43395864963531494) (708,0.42461633682250977) (3261,0.4228348135948181) (2858,0.420217901468277) (1476,0.4146822392940521)
1784: (1573,0.4700678884983063) (2762,0.4234093427658081) (2858,0.40987429022789) (260,0.38954779505729675) (150,0.38392648100852966) (2028,0.3626777231693268) (1610,0.35788094997406006) (1374,0.34898242354393005) (1240,0.3485814929008484) (1909,0.34459322690963745) (3745,0.34278443455696106) (2628,0.3424589931964874) (2232,0.3398749530315399) (110,0.3394696116447449) (2021,0.33492186665534973) (748,0.33253443241119385) (2989,0.32936063408851624) (1097,0.32506632804870605) (1097,0.32506632804870605) (648,0.3223288357257843)
1785: (2858,0.6611458659172058) (3952,0.6448526382446289) (3785,0.6286537051200867) (3515,0.6163663864135742) (3790,0.6154863238334656) (3618,0.6120750904083252) (3562,0.5944363474845886) (3786,0.5933685898780823) (3913,0.5859920978546143) (3863,0.5767468810081482) (3318,0.5735533237457275) (3326,0.5730603933334351) (3616,0.567552387714386) (3509,0.5671499967575073) (3906,0.5654488801956177) (2718,0.5643847584724426) (3826,0.564247727394104) (3324,0.5620381236076355) (3646,0.5587453842163086) (3752,0.556486189365387)
1786: (3318,1.1207466125488281) (3562,1.084365725517273) (3295,1.0828815698623657) (3943,1.0689523220062256) (3571,1.0670061111450195) (3910,1.063855767250061) (3150,1.0618809461593628) (2705,1.0605851411819458) (3822,1.0562583208084106) (3880,1.0529268980026245) (3718,1.0512151718139648) (3192,1.0500136613845825) (3913,1.0483677387237549) (3851,1.0477062463760376) (3509,1.0378416776657104) (2483,1.0318384170532227) (2678,1.0298091173171997) (3858,1.0245366096496582) (3786,1.019195556640625) (2824,1.0136538743972778)
1787: (318,0.5773237347602844) (2762,0.556176483631134) (2858,0.5149127244949341)* (527,0.45824092626571655) (527,0.45824092626571655) (3952,0.4562004506587982) (3510,0.4396476745605469) (2028,0.43199896812438965) (1242,0.4285598397254944) (3578,0.41602495312690735) (1358,0.4154840111732483) (1097,0.4138219356536865) (1097,0.4138219356536865) (1797,0.4049851596355438) (1259,0.40366536378860474) (150,0.39921751618385315) (920,0.38177573680877686) (1961,0.3799183964729309) (1387,0.378049373626709) (908,0.37315666675567627)
1788: (373,0.6476244330406189) (45,0.611362636089325) (1057,0.6069172620773315) (994,0.6020773649215698) (319,0.6009125709533691) (1480,0.5979697704315186) (556,0.5942860841751099) (999,0.5904950499534607) (492,0.5836642384529114) (707,0.5643438696861267) (1038,0.56227707862854) (3281,0.5570913553237915) (1054,0.5570220351219177) (1633,0.5519777536392212) (1186,0.5378339290618896) (159,0.5276628732681274) (2132,0.5191500186920166) (1627,0.5169495940208435) (2165,0.5142533779144287) (14,0.5141148567199707)
1789: (3752,0.9101632833480835) (3556,0.899176299571991) (3786,0.8415052890777588) (318,0.8414563536643982) (3318,0.8322420716285706) (3618,0.8195884823799133) (3943,0.8119328618049622) (3562,0.8075692653656006) (3913,0.8020358681678772) (2337,0.7941214442253113) (3509,0.7935224771499634) (2678,0.792603075504303) (3858,0.7922061681747437) (1673,0.7896863222122192) (3578,0.7781004309654236)* (3160,0.777781069278717) (3851,0.7758693695068359) (3787,0.7737436294555664) (3568,0.7684487104415894) (3538,0.7672916650772095)
1790: (1476,0.7234004735946655) (2687,0.6246138215065002) (2294,0.5732396841049194) (2294,0.5732396841049194) (2110,0.5469842553138733) (2989,0.5405412316322327) (372,0.48918038606643677) (708,0.4884432852268219) (3692,0.47545933723449707) (45,0.47029295563697815) (2414,0.4700692594051361) (1057,0.4574371576309204) (2796,0.444012850522995) (1194,0.4397566616535187)* (3869,0.4365532100200653) (492,0.43501046299934387) (3263,0.4259116053581238) (3701,0.42029333114624023) (2372,0.4199841022491455) (2717,0.4196093678474426)
1791: (1189,0.6495736241340637) (1217,0.611201822757721) (1162,0.5667785406112671) (2132,0.5434989929199219) (162,0.537843644618988) (373,0.5342994332313538) (615,0.5275648236274719) (1251,0.5271140336990356) (2303,0.5213574171066284) (1945,0.5206694006919861)* (3091,0.5193613171577454) (45,0.5154881477355957) (1238,0.5134226679801941) (3129,0.5085918307304382) (492,0.5059719085693359) (1186,0.5027046799659729) (290,0.5009148120880127) (2677,0.4949910640716553) (3814,0.4925124943256378) (3783,0.49186572432518005)
1792: (3285,0.7803176045417786) (276,0.7579688429832458) (3453,0.7521506547927856) (2485,0.7335818409919739) (1870,0.7325032353401184) (3436,0.728326678276062) (489,0.7180184721946716) (2197,0.7164826989173889) (289,0.7116076350212097) (3050,0.7113999128341675) (813,0.7079950571060181) (2858,0.7044637799263)* (118,0.6974321603775024) (708,0.6965765357017517) (2497,0.6942649483680725) (27,0.6883690357208252) (3325,0.6820600628852844) (3554,0.6786887645721436) (3784,0.6732816100120544) (2687,0.6727415919303894)
1793: (492,0.6854607462882996) (1057,0.6323256492614746) (1476,0.6270805597305298) (2858,0.617424488067627) (2687,0.616222620010376) (1125,0.6057087182998657) (45,0.5599762797355652) (708,0.5532496571540833) (2124,0.5428604483604431) (2294,0.5373775959014893) (2294,0.5373775959014893) (1186,0.5324984192848206) (2110,0.5310239195823669) (921,0.49496665596961975) (1297,0.47458022832870483) (373,0.47252702713012695) (261,0.46627259254455566) (2959,0.46242889761924744) (1633,0.4571310579776764) (2712,0.45522063970565796)
1794: (2687,0.6403051018714905) (708,0.6229529976844788) (2294,0.5807849764823914) (2294,0.5807849764823914) (1476,0.5793150663375854) (1057,0.553508996963501) (2762,0.5487017035484314) (2124,0.5392975211143494) (261,0.5343891382217407) (2858,0.5246825814247131) (1125,0.5163568258285522) (372,0.4965689778327942) (2106,0.47900331020355225) (492,0.47842732071876526) (1480,0.4730353355407715) (2028,0.4692867398262024) (1290,0.45255038142204285) (3844,0.447225958108902) (1297,0.44673073291778564) (593,0.44607865810394287)
1795: (1619,0.5327847599983215) (1627,0.5323355197906494) (2120,0.5176045894622803) (3660,0.5122035145759583) (3694,0.5096542239189148) (3692,0.5056792497634888) (2513,0.5053777098655701) (318,0.5025099515914917) (356,0.5002706050872803)* (1996,0.5001132488250732) (3257,0.4915602207183838) (394,0.4879699647426605) (2687,0.4858217239379883) (1476,0.4814436435699463) (291,0.48142603039741516) (805,0.4813194274902344) (2119,0.4789848327636719) (710,0.47523054480552673) (762,0.47357600927352905) (3846,0.4734344482421875)
1796: (492,0.8738248944282532)* (1186,0.8487125635147095) (2132,0.7333415746688843) (1125,0.7273271679878235) (915,0.722626268863678) (1238,0.6781392693519592) (272,0.6301406025886536) (2110,0.6269330382347107) (1096,0.6206294298171997) (1132,0.616813600063324) (1131,0.6136927604675293) (971,0.5751858353614807) (1217,0.5733044147491455) (1082,0.5696949362754822) (2687,0.5682623386383057) (948,0.5671378970146179) (1963,0.5616804361343384) (3011,0.5590485334396362) (3069,0.559043288230896) (3546,0.5521836876869202)
1797: (1423,0.7010419368743896) (1162,0.6958532333374023) (3011,0.6834585070610046) (3789,0.6764875054359436) (1217,0.6602049469947815)* (2920,0.6580545902252197) (1949,0.6403593420982361) (3075,0.6389263272285461) (948,0.6368682384490967) (1238,0.6361055970191956) (615,0.6330896615982056) (1913,0.6219810247421265) (1945,0.6214296817779541)* (2211,0.6213893890380859) (3872,0.6153996586799622) (2285,0.6140922904014587) (921,0.6126695275306702) (1082,0.6110550761222839) (3814,0.6099212169647217) (3224,0.6097442507743835)
1798: (2132,0.5957726836204529) (1217,0.5659153461456299) (921,0.5362573266029358) (2687,0.5216447114944458) (615,0.5156744718551636) (915,0.49370455741882324) (1104,0.4916607141494751) (318,0.4870079457759857) (1238,0.47861412167549133) (1945,0.47430548071861267) (1230,0.46497708559036255) (1162,0.464212030172348) (3814,0.4605327546596527) (1244,0.4598109722137451) (492,0.4519576132297516) (2303,0.45195475220680237) (1248,0.4442523419857025) (1125,0.4435199499130249) (3647,0.4378586411476135) (928,0.43784916400909424)
1799: (1057,0.5793666839599609) (994,0.5549113750457764) (492,0.5481223464012146) (318,0.5296010971069336) (764,0.5292890667915344) (1633,0.5249979496002197) (373,0.5028492212295532)* (272,0.5012954473495483) (1643,0.4986855983734131) (45,0.484180748462677) (306,0.4716506898403168) (1476,0.47057390213012695) (1480,0.45737504959106445) (1759,0.456694096326828) (261,0.45424842834472656) (1683,0.45166119933128357) (593,0.4502626359462738) (1186,0.45023271441459656) (319,0.44732439517974854) (1176,0.4377244710922241)
1800: (2687,0.5255768299102783) (2858,0.5125499963760376)* (1476,0.47936108708381653) (492,0.4579177796840668) (2294,0.45214417576789856) (2294,0.45214417576789856) (318,0.43759483098983765) (2762,0.42759570479393005) (2700,0.41741943359375) (1610,0.4162396490573883) (2124,0.41419798135757446) (2542,0.4137667417526245) (648,0.4058837294578552) (1639,0.39598286151885986) (1057,0.39469873905181885) (3263,0.39306575059890747) (288,0.3915420174598694) (2959,0.386178195476532) (915,0.385389506816864) (708,0.38188767433166504)
1801: (2687,0.8170501589775085) (2762,0.7069823741912842) (225,0.6426605582237244) (527,0.6183473467826843) (527,0.6183473467826843) (318,0.6068271398544312) (647,0.5911726355552673) (1573,0.5857188105583191) (2571,0.5734444856643677) (356,0.568850040435791) (1721,0.5389513373374939) (1721,0.5389513373374939) (2028,0.5284444689750671) (257,0.528348445892334) (150,0.5115391612052917) (3578,0.5080678462982178) (3510,0.5075688362121582) (3952,0.5032848715782166) (1892,0.5015522241592407) (260,0.4925881624221802)
1802: (2132,0.5963549613952637) (1217,0.5438424348831177) (735,0.5359585285186768) (2901,0.5309438109397888) (2159,0.5117614269256592) (968,0.5033794641494751) (1232,0.49006178975105286) (2727,0.4799649715423584) (2158,0.4799501895904541) (556,0.478833943605423) (3647,0.4753999412059784) (532,0.4753841757774353) (1189,0.4726227819919586) (2303,0.4723796844482422) (2894,0.47105056047439575) (3872,0.4690500795841217) (1162,0.46880361437797546) (373,0.4647541046142578) (3789,0.46254661679267883) (2920,0.4620697498321533)
1803: (382,0.550689160823822) (1476,0.5484678149223328) (504,0.5296989679336548) (2974,0.5271145105361938) (2120,0.511478841304779) (2793,0.510863721370697) (832,0.5094361305236816) (315,0.5025972723960876) (611,0.5000051259994507) (1339,0.4949699938297272)* (2748,0.4941428601741791) (3785,0.49391332268714905) (2279,0.4898461103439331) (547,0.4888019263744354) (3835,0.47721320390701294) (2625,0.4763834476470947) (2718,0.4761894643306732) (1645,0.4754871726036072)* (3219,0.47484883666038513) (3692,0.4746395945549011)
1804: (318,0.44361796975135803) (261,0.4378698766231537) (2687,0.4367731213569641) (1057,0.4141245186328888) (492,0.40764087438583374) (1643,0.39191508293151855) (708,0.3806340992450714) (1125,0.3792128264904022) (1633,0.3766791820526123) (2028,0.37345990538597107)* (150,0.3677610456943512) (1610,0.36337921023368835) (2124,0.3553091287612915) (2132,0.35046666860580444) (2501,0.34307241439819336) (3203,0.34254756569862366) (2294,0.3408248722553253) (2294,0.3408248722553253) (1271,0.3341871201992035) (1291,0.3290470242500305)
1805: (2687,0.6353897452354431) (2124,0.5466786026954651) (2294,0.542677104473114) (2294,0.542677104473114) (1476,0.5360825657844543) (1297,0.4985654950141907) (1125,0.46073901653289795) (708,0.4398929178714752) (2110,0.4375869929790497) (1057,0.435819536447525) (1573,0.42793452739715576) (3040,0.42278701066970825) (3000,0.41576313972473145) (527,0.4083632230758667) (527,0.4083632230758667) (2414,0.4068961441516876) (1257,0.3933500349521637) (2657,0.38859403133392334) (372,0.3864976763725281) (260,0.3857254385948181)*
1806: (2687,0.7354729771614075) (708,0.6933289766311646) (2124,0.583450973033905) (261,0.5625728964805603) (2297,0.560266375541687) (1057,0.5416755080223083) (1654,0.5216882228851318) (276,0.5161824226379395) (289,0.4820622503757477) (2141,0.4726255238056183) (1593,0.47099921107292175) (1476,0.4575694799423218) (2106,0.45576342940330505) (372,0.454569935798645) (2628,0.4537453055381775) (3646,0.4522746503353119) (3466,0.44592249393463135) (107,0.4459010362625122) (3565,0.4441099166870117) (1271,0.43917611241340637)
1807: (2858,0.6246432065963745) (318,0.613171398639679) (2762,0.5693021416664124) (1387,0.5381532907485962) (372,0.514102041721344) (47,0.5023548007011414) (2959,0.5005993843078613) (1982,0.5001341700553894) (163,0.4955117404460907) (1343,0.4896007180213928) (293,0.4876221716403961) (3785,0.4832826852798462) (2542,0.47721758484840393) (532,0.47620150446891785) (1120,0.47612008452415466) (3178,0.4752107560634613) (2712,0.47447869181632996) (2706,0.46843335032463074) (45,0.46801310777664185) (832,0.464140385389328)
1808: (2687,0.7705249786376953) (3754,0.579359233379364) (3565,0.5628788471221924) (2546,0.5614679455757141) (2294,0.5488362908363342) (2294,0.5488362908363342) (3826,0.5443212985992432) (3579,0.5430482029914856) (3484,0.5362285375595093) (2858,0.5298749804496765) (3578,0.5233635306358337) (2690,0.5063326954841614) (2605,0.5038591027259827) (3203,0.5011523962020874) (261,0.495301753282547) (3157,0.4906408488750458) (3745,0.4890611469745636) (3326,0.4884777367115021) (3785,0.48657485842704773) (3752,0.4830807149410248)
1809: (3752,0.9428118467330933) (2712,0.9224296808242798) (2959,0.9139168858528137)* (3285,0.8960533142089844) (2502,0.8386254906654358) (2706,0.8097728490829468) (2541,0.8019176721572876) (785,0.7955111265182495) (223,0.7873106002807617) (2714,0.7866377830505371) (1093,0.7813742160797119)* (2492,0.7789861559867859) (2598,0.7777214050292969) (2759,0.7710363864898682) (2605,0.7626036405563354) (858,0.7620643377304077) (3785,0.7517673969268799) (2622,0.7513723373413086) (2840,0.7491334080696106) (2842,0.7464932799339294)
1810: (373,0.4384544789791107) (561,0.4373580515384674) (2202,0.4364248812198639) (187,0.4307117760181427) (3725,0.4300694465637207) (716,0.42529523372650146) (3765,0.41242715716362) (45,0.39635908603668213) (1038,0.39213883876800537) (1447,0.386765718460083) (1609,0.38190722465515137) (3676,0.3783682882785797) (319,0.378179669380188) (1189,0.3768555223941803) (1824,0.37594202160835266) (1631,0.3737899959087372) (197,0.37276721000671387) (3075,0.3709273338317871) (1053,0.36738550662994385) (2110,0.3660075068473816)
1811: (2901,1.253872275352478) (3344,1.1174378395080566) (2687,1.0746417045593262) (3157,1.0127463340759277) (2669,1.006083607673645) (3952,0.9945176243782043) (3936,0.9791715145111084) (2521,0.978233277797699) (2759,0.9690921902656555) (2747,0.9690805673599243) (1848,0.9680888056755066) (3786,0.9566439390182495) (1982,0.9538018107414246) (968,0.9453354477882385) (2538,0.9353437423706055) (3928,0.9159265160560608) (1899,0.9151754975318909) (1327,0.9093169569969177) (2160,0.8984087705612183) (2690,0.8984069228172302)
1812: (2687,0.6816725134849548) (708,0.6497297286987305) (1612,0.6409421563148499) (492,0.621790885925293) (1870,0.6185085773468018) (1057,0.60671067237854) (3050,0.6054186820983887) (984,0.6002064943313599) (2110,0.5953391194343567) (171,0.5889685153961182) (813,0.5812559723854065) (278,0.58092200756073) (1186,0.5782555341720581) (3040,0.5750187635421753) (187,0.5720936059951782) (988,0.5693315267562866) (2197,0.5640017986297607) (2294,0.5635537505149841)* (2294,0.5635537505149841)* (1476,0.562912106513977)
1813: (492,1.0096338987350464) (1057,0.950084388256073) (1643,0.9279757142066956) (261,0.9246182441711426) (2687,0.8966490626335144) (708,0.8511105179786682) (1633,0.842751145362854) (2132,0.7917068004608154) (1132,0.768112063407898) (994,0.7626214623451233) (1914,0.7450792789459229) (915,0.7371280193328857) (187,0.7334662675857544) (2390,0.7214594483375549) (2443,0.7116564512252808) (1271,0.711161196231842) (2294,0.7071188688278198) (2294,0.7071188688278198) (272,0.7015430331230164) (2690,0.699359655380249)
1814: (748,0.5515846014022827) (427,0.4701927602291107) (3826,0.4664880931377411) (2901,0.4498816728591919) (3452,0.44864997267723083) (3864,0.4422147572040558) (1762,0.44129788875579834) (3863,0.43958723545074463) (3946,0.4354412257671356) (2811,0.4352886378765106) (880,0.4343171715736389) (1573,0.43225592374801636) (2490,0.43042659759521484) (3898,0.42891421914100647) (3802,0.42576852440834045) (3785,0.42506009340286255) (3484,0.4224027395248413) (1328,0.4217391312122345) (1356,0.42050066590309143) (1590,0.42027348279953003)
1815: (589,0.6003183722496033) (3000,0.5584830045700073) (3578,0.5574312210083008) (3952,0.5368589758872986) (3618,0.5326142311096191) (1356,0.5270041227340698) (2762,0.5244945287704468) (1921,0.5128003358840942) (3745,0.5094884634017944) (3625,0.5075502991676331) (3754,0.5073539614677429) (3300,0.5035732984542847) (2692,0.5035578608512878) (541,0.5023813843727112) (3864,0.5005671977996826) (3785,0.49632152915000916) (2628,0.4938921332359314)* (2687,0.49379199743270874) (3897,0.4935402572154999) (3913,0.49079105257987976)
1816: (2901,0.7944785356521606) (3847,0.7245271801948547) (3840,0.7197250127792358) (2459,0.7169548273086548) (1982,0.7037720680236816) (1327,0.66998690366745) (3344,0.666774570941925) (3837,0.6660521626472473) (3694,0.6475555896759033) (2747,0.6458526253700256) (1125,0.6418812870979309) (735,0.6328648924827576) (1334,0.6234116554260254) (1853,0.6206639409065247) (2992,0.6137895584106445) (2554,0.6101284623146057) (1331,0.6097134351730347) (3018,0.6046076416969299) (2124,0.5999767184257507) (1434,0.595690131187439)
1817: (2762,0.45888590812683105) (2687,0.4353502690792084) (3624,0.3756401836872101) (1909,0.371552437543869) (3618,0.3639289140701294) (3863,0.35875755548477173) (3952,0.357989102602005) (541,0.35687583684921265) (527,0.3515506982803345) (527,0.3515506982803345) (3745,0.35033127665519714) (1097,0.3481660783290863) (1097,0.3481660783290863) (2692,0.34806594252586365) (1573,0.34578779339790344) (3203,0.3455767333507538) (2366,0.3435928523540497) (648,0.34284088015556335) (3000,0.3417026102542877) (2294,0.3402903079986572)
1818: (2687,0.5949134826660156) (318,0.4684574007987976) (2294,0.41821587085723877) (2294,0.41821587085723877) (356,0.41753751039505005) (364,0.41496071219444275)* (648,0.41179051995277405) (1019,0.40004763007164) (1291,0.3916608691215515) (920,0.3907968997955322) (1356,0.3901974856853485) (1246,0.3900153636932373) (1610,0.3884734809398651) (2858,0.3822368383407593) (2716,0.3806917667388916) (1023,0.37962737679481506) (1909,0.37841978669166565) (2571,0.37765517830848694) (1033,0.3768938183784485) (527,0.3690628409385681)
1819: (541,0.5295031666755676)* (2858,0.4971036911010742) (2366,0.4728115499019623) (1242,0.46371394395828247) (1217,0.4615243375301361) (2901,0.4600966274738312) (1189,0.4527655839920044) (2687,0.44854727387428284) (3936,0.4440484642982483) (2158,0.44298630952835083) (1248,0.4420672059059143) (1219,0.438174307346344) (3647,0.43543633818626404) (2009,0.43379655480384827) (2571,0.4337349534034729) (3091,0.429322749376297) (1019,0.4274420738220215) (2287,0.4252389371395111) (2657,0.4224540889263153) (3706,0.4212227463722229)
1820: (2901,0.5977253317832947) (3840,0.5180457830429077) (2459,0.507758378982544) (1476,0.5040317177772522) (3837,0.49576535820961) (2787,0.4885849952697754) (3344,0.48323509097099304) (1125,0.4801737070083618) (3660,0.47578686475753784) (2900,0.46850550174713135) (188,0.46601393818855286) (735,0.4652896821498871) (2097,0.46011680364608765) (3847,0.45911064743995667) (2124,0.45757797360420227) (3694,0.45730060338974) (3692,0.4572437107563019) (2687,0.45439302921295166) (2513,0.45399048924446106) (2148,0.4485490918159485)
1821: (1189,0.6764330267906189) (3091,0.653190553188324) (3038,0.6350871920585632) (3789,0.6255092024803162) (2202,0.6157452464103699) (1251,0.6118955612182617) (3075,0.608672022819519) (3416,0.606123685836792) (1162,0.5977665185928345) (928,0.597170352935791) (1945,0.5940291881561279) (2132,0.5827302932739258) (3338,0.5811372995376587) (2285,0.5807918310165405) (1423,0.579783022403717) (2691,0.577252209186554) (2970,0.5753423571586609) (1069,0.5747565031051636) (1940,0.5738505721092224) (3634,0.5728649497032166)
1822: (1186,0.600530207157135) (2687,0.5928948521614075) (492,0.5777725577354431) (1125,0.5754075646400452) (2858,0.537176787853241)* (2110,0.5226231217384338) (1057,0.490847110748291) (318,0.4889061152935028) (2124,0.4880031645298004) (2065,0.48515963554382324)* (1096,0.4786534905433655) (2294,0.47653138637542725) (2294,0.47653138637542725) (921,0.4747946560382843) (1476,0.46816739439964294) (915,0.45061957836151123) (45,0.4489760398864746) (2247,0.4481644034385681) (1238,0.4390343427658081) (1395,0.43763384222984314)
1823: (1177,0.5774909853935242) (468,0.5626404881477356) (613,0.5566354990005493) (618,0.5526848435401917) (287,0.5428300499916077) (1455,0.5355393886566162) (917,0.5345582365989685) (3112,0.5302901268005371) (116,0.5262059569358826) (3136,0.5254690647125244) (1767,0.5206109285354614) (2497,0.5166983604431152) (261,0.5126098990440369) (691,0.5071863532066345) (444,0.5046058297157288) (1643,0.5026127099990845) (182,0.4900062680244446) (2738,0.489221453666687) (1417,0.48911571502685547) (3436,0.48814553022384644)
1824: (708,0.6419471502304077) (2443,0.5366177558898926) (2687,0.5361014008522034) (1057,0.5062679648399353) (187,0.5038992166519165) (2106,0.4919804036617279) (289,0.4878653287887573) (2690,0.4824974536895752) (2294,0.4799882769584656) (2294,0.4799882769584656) (2996,0.47991642355918884) (305,0.4778982698917389) (2197,0.470889687538147) (2629,0.4667683243751526) (2390,0.4664565920829773) (2506,0.462710440158844) (3554,0.4590388238430023) (372,0.4586837887763977) (1821,0.45732903480529785) (3185,0.45504307746887207)
1825: (2197,0.6755218505859375) (1621,0.6406543254852295) (1668,0.6194150447845459) (289,0.6105508208274841) (4,0.6087949872016907) (984,0.6031686663627625) (1498,0.6009184718132019) (261,0.5959059000015259) (2522,0.5882787704467773) (2432,0.5866503119468689) (708,0.5814685821533203) (3325,0.5784163475036621) (2062,0.5764442086219788) (187,0.5761922597885132) (1735,0.572934627532959) (57,0.5701814293861389) (3436,0.5682522058486938) (114,0.5645589828491211) (813,0.5600315928459167) (613,0.5594460964202881)
1826: (318,0.41598209738731384) (2762,0.39369896054267883) (541,0.37415364384651184)* (1097,0.3679021894931793) (1097,0.3679021894931793) (1217,0.36523061990737915) (915,0.3637735843658447) (921,0.36205464601516724) (2132,0.35042962431907654) (260,0.349704772233963) (2366,0.3486122786998749) (2009,0.34389927983283997) (1387,0.3432304263114929) (2858,0.34053143858909607) (1994,0.33554255962371826) (1019,0.33341291546821594) (1356,0.3323085904121399)* (2687,0.33186665177345276) (1242,0.3309890031814575) (2021,0.3309881091117859)
1827: (2901,0.7787878513336182) (2712,0.7324661612510681) (2687,0.6523995995521545) (1982,0.6433547139167786) (3706,0.6319354176521301) (2459,0.6211594939231873) (3676,0.6021071672439575) (735,0.6003934741020203) (3786,0.600343644618988) (1673,0.5989336371421814) (373,0.5811758041381836) (3952,0.5780709981918335)* (3344,0.5739514231681824) (2747,0.5735480785369873) (1348,0.571440577507019) (3930,0.5656003952026367) (3618,0.5637206435203552) (2762,0.5587396621704102) (968,0.5578025579452515) (3509,0.5532357096672058)
